Design No.,Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME Coupling coefficient
11,6.573,0.263,-3.452,-6.957,6.717,10,-4.1,6.247,1.428,3.603,-2.453,4.787,7.139,2.604,-8.204,2.693,11.582,-4.788,7.946,-6.201,-2.267,15.916,2.588,-2.153,-6.22,-13.374,-1.029,-9.128,0.311,2.418,324.92
12,6.578,0.263,-3.455,-6.962,6.722,10.008,-4.103,6.251,1.428,3.605,-2.455,4.79,7.145,2.606,-8.209,2.695,11.591,-4.792,7.952,-6.205,-2.268,15.927,2.59,-2.154,-6.225,-13.384,-1.03,-9.134,0.311,2.419,291.55
13,6.932,0.814,-4.123,-5.905,5.8,9.688,-4.012,6.3,1.032,4.473,-3.901,5.651,9.17,2.119,-7.572,2.428,11.337,-4.183,8.378,-6.023,-2.057,16.721,3.629,-3.073,-5.37,-15.46,-0.618,-9.992,1.352,2.706,802.18
14,6.193,-0.014,-2.926,-7.5,7.769,9.473,-3.51,5.272,2.026,4.07,-1.86,4.022,4.424,2.318,-8.586,2.752,11.797,-5.433,8.293,-5.755,-3.764,15.555,2.75,-1.447,-4.856,-12.752,1.376,-9.892,-1.814,1.966,1070.99
15,7.72,0.126,-2.183,-6.729,7.016,10.001,-3.675,7.841,1.013,4.769,-3.951,5.385,7.876,1.804,-8.113,3.373,11.22,-4.141,7.237,-5.923,-2.613,16.435,2.467,-2.022,-6.152,-14.523,-0.866,-9.275,0.14,2.466,190.34
16,6.923,-0.627,-2.296,-7.326,8.514,10.097,-4.578,5.909,0.595,2.968,-3.892,5.614,7.348,3.2,-9.246,1.78,11.165,-4.262,6.863,-6.485,-1.876,16.72,2.226,-1.991,-5.904,-15.269,-1.813,-9.659,-1.983,2.301,2070.98
17,8.476,-0.369,-2.348,-7.687,7.862,9.628,-3.083,6.019,1.047,2.777,-3.548,4.219,6.321,2.95,-6.412,2.645,13.746,-4.452,6.793,-5.834,-1.986,15.216,2.717,-1.9,-5.55,-13.181,-1.959,-8.924,0.536,1.398,961.15
18,8.187,1.06,-3.501,-6.091,6.156,9.918,-2.938,5.757,1.233,2.995,-2.435,5.666,6.795,2.409,-9.393,2.097,13.263,-5.779,9.342,-5.751,-3.143,18.425,2.738,-2.894,-8.545,-14.308,-2.631,-7.62,-2.55,3.555,294.18
19,8.018,1.199,-1.809,-6.067,8.284,10.817,-5.941,6.772,1.515,4.044,-4.041,5.577,8.118,1.822,-7.716,1.721,11.514,-4.761,6.24,-6.818,-1.439,17.031,1.252,-1.885,-4.568,-12.565,-1.158,-8.676,-1.648,2.524,1192.94
20,5.441,-1.53,-2.221,-8.294,8.07,10.11,-3.566,5.465,1.936,2.839,-2.86,4.424,7.186,2.608,-6.941,2.204,12.473,-3.904,8.84,-4.866,-1.385,14.048,2.984,-3.369,-5.983,-15.897,-0.083,-8.471,0.36,2.934,1120.96
21,8.494,0.209,-4.156,-6.271,6.775,10.241,-4.563,6.05,1.563,4.458,-0.463,4.913,6.169,1.915,-8.375,1.988,9.659,-5.712,9.233,-6.779,-2.567,16.104,3.068,-1.434,-7.638,-12.593,-1.83,-9.647,0.043,2.017,319.39
22,5.56,-1.068,-1.485,-7.024,6.515,11.792,-5.277,7.546,1.98,2.865,-2.053,5.42,7.114,3.644,-8.839,1.691,12.964,-4.433,8.153,-7.313,-2.28,15.912,5.148,-2.428,-5.698,-12.695,-0.813,-8.575,0.261,2.673,761.38
23,8.246,0.458,-4.823,-5.763,6.905,11.101,-4.049,8.297,1.497,3.268,-3.223,5.756,7.681,2.213,-9.035,3.352,12.416,-6.167,9.139,-5.926,-2.7,16.812,2.89,-3.987,-7.602,-14.467,-2.276,-10.281,1.192,2.212,384.05
24,7.519,0.803,-2.992,-6.99,7.633,12.192,-4.452,5.686,-1.684,2.778,-2.524,6.347,7.6,0.889,-7.88,2.85,12.915,-4.757,9.209,-6.408,-2.804,14.346,1.943,-3.17,-6.435,-14.084,-1.108,-9.604,0.502,0.99,559.88
25,9.334,-0.936,-3.366,-7.263,5.961,9.733,-3.628,7.551,2.253,3.012,-4.073,5.723,6.613,1.306,-7.757,4.596,12.125,-3.891,7.822,-6.309,-2.763,15.49,2.01,-1.954,-6.512,-13.784,0.04,-8.649,-1.513,2.861,341.9
26,7.432,1.182,-5.214,-8.699,6.588,10.141,-5.084,5.667,1.552,3.165,-2.86,4.613,7.929,3.682,-7.492,2.895,10.539,-5.599,7.7,-6.532,-2.284,16.69,1.996,-2.759,-4.892,-13.917,0.976,-9.203,-0.217,3.002,464.05
27,6.862,-0.179,-3.783,-6.359,7.238,11.774,-4.681,5.666,0.485,1.2,-1.847,4.718,8.995,2.82,-9.114,3.727,10.287,-5.324,6.934,-7.375,-2.431,14.283,2.236,-1.951,-5.77,-12.3,0.166,-8.951,0.091,0.887,720.88
28,6.617,1.576,-4.106,-6.739,5.513,10.124,-2.812,6.289,2.046,3.649,-2.182,4.465,7.532,1.654,-8.14,1.228,11.342,-5.095,8.356,-5.818,-3.839,15.786,1.536,-2.184,-6.322,-14.105,-2.257,-9.781,2.309,2.086,334.64
29,6.191,-0.014,-2.925,-7.497,7.767,9.469,-3.509,5.27,2.026,4.069,-1.859,4.02,4.421,2.318,-8.583,2.751,11.794,-5.432,8.29,-5.753,-3.763,15.55,2.749,-1.446,-4.854,-12.747,1.376,-9.889,-1.814,1.965,1072.14
30,7.248,0.8,-2.84,-6.707,7.374,11.776,-4.286,5.423,-1.734,2.628,-2.42,6.154,7.3,0.787,-7.546,2.731,12.434,-4.56,8.874,-6.146,-2.719,13.699,1.832,-3.085,-6.181,-13.536,-1.071,-9.231,0.49,0.897,449.01
