Design No.,Sphere 1x,Sphere 1y,Sphere1z,Sphere 2x,Sphere 2y,Sphere2z,Sphere 3x,Sphere 3y,Sphere3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere5z,Sphere 6x,Sphere 6y,Sphere6z,Sphere 7x,Sphere 7y,Sphere7z,Sphere 8x,Sphere 8y,Sphere8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME Coupling coefficient
17,-26.301,-10.904,7.847,24.85,-10.2,-25.49,-9.859,26.85,-29.327,9.178,-9.191,5.668,23.115,-19.908,2.071,21.59,21.325,17.848,3.088,1.829,-20.603,16.712,-1.454,0.746,3.235,18.29,15.259,22.549,24.328,-20.526,63.75
18,-20.388,-27.399,19.409,-10.766,-28.313,-30,12.829,23.468,11.311,-8.608,6.335,-20.087,-26.522,2.612,-22.72,25.455,19.718,25.896,-13.437,0.013,-0.378,15.142,7.216,-5.032,-19.015,-5.653,-10.745,-16.732,22.786,19.485,86.41
19,15.75,-15.466,23.433,-21.711,-13.737,2.484,7.864,18.753,-27.582,3.021,-25.595,8.204,-7.897,-19.498,3.125,25.587,15.2,-12.341,-3.578,-5.985,-21.355,-7.473,23.376,22.536,3.489,-27.034,-20.327,29.53,0.998,24.519,69.3
20,26.558,-18.834,12.302,-10.858,27.259,-22.432,-24.072,22.939,-11.881,-20.107,-27.347,-14.242,-8.242,-24.45,-25.18,20.185,-11.012,-13.999,12.39,19.415,-14.785,23.671,6.15,-16.944,-12.402,-9.676,17.396,0.347,-18.726,21.953,54.65
21,6.057,-15.316,-2.594,5.974,18.795,7.037,-29.24,-5.164,18.673,-14.408,-28.316,19.885,7.267,-12.33,-0.157,25.331,-23.267,-21.261,-26.256,-21.585,0.205,29.166,-2.493,22.961,9.116,-29.844,10.214,10.12,0.817,24.114,95.66
22,-28.78,-30,11.685,1.465,-8.581,-6.367,17.178,-3.446,22.658,6.429,5.781,22.118,3.097,28.332,14.423,30,-20.554,4.796,-14.08,-10.537,-1.982,2.891,7.935,-3.771,19.282,-22.125,-20.436,13.859,12.925,17.168,42.15
23,29.049,-20.501,1.423,0.715,-16.132,-18.278,25.887,-19.822,6.047,-7.569,-3.6,-24.198,0.99,19.244,-29.729,26.138,19.102,2.85,5.586,-8.317,12.876,12.928,16.12,24.497,12.904,-23.589,-23.555,13.675,-13.466,-7.056,302.34
24,19.578,-25.525,17.257,-16.828,12.317,-5.753,7.606,-22.777,14.968,-6.983,-19.394,-20.291,-19.692,-21.747,10.993,-1.226,-28.921,-8.537,19.474,28.769,-5.045,18.103,15.47,9.329,-14.576,21.65,-11.676,20.785,-12.988,11.788,72.61
25,23.499,-2.479,23.401,8.657,10.121,-11.513,10.493,17.053,-0.563,29.487,-6.523,-24.526,-19.828,16.135,-18.438,21.288,-17.579,-3.571,16.455,8.016,21.797,2.571,6.727,-1.062,-17.972,-17.858,7.157,-14.398,27.582,21.292,82.72
26,18.321,-20.756,22.617,-12.227,4.409,-30,-8.775,-27.85,-27.917,-13.295,19.976,-10.874,-27.033,5.157,-0.851,4.132,-14.804,21.455,7.009,30,11.962,1.57,-18.155,-22.425,-15.445,-18.997,-13.443,15.656,10.593,-19.795,57.22
27,23.339,-24.218,27.696,29.669,-9.323,-28.144,8.649,-5.499,2.251,14.904,29.591,18.192,23.391,-4.488,4.226,1.109,-14.334,27.592,-24.83,12.381,-22.61,18.252,5.177,-7.824,-16.898,-0.314,8.628,-2.772,17.484,-11.193,42.38
28,27.16,-3.41,7.127,14.897,22.346,-1.475,26.327,-6.05,11.902,24.132,-27.86,28.151,-27.407,-28.017,-15.395,27.12,-29.719,2.006,5.964,8.912,7.904,-21.933,-21.024,-19.707,-9.385,9.298,-9.642,2.259,-27.422,2.183,127.57
29,-24.107,-1.749,24.07,17.389,21.841,12.967,-9.441,-2.944,-6.352,0.498,25.801,17.553,-26.816,-3.21,-7.073,-7.891,6.218,2.731,10.589,1.239,11.88,-0.196,4.424,14.613,-24.225,-28.897,4.27,22.931,26.442,2.357,57.25
30,15.615,-17.808,-8.831,5.602,-16.123,-5.373,27.747,9.696,6.511,23.2,-26.042,13.276,-10.502,6.297,20.943,-9.286,-6.961,20.622,15.129,-8.173,-23.756,25.357,25.852,-25.637,-2.394,-20.828,-13.104,13.532,14.223,-29.193,62.82
