Design No.,Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient,ME_Coupling_coefficient_pred_corrected,
18,7.946,7.543,-6.397,-4.597,11.275,8.435,-4.246,9.122,7.137,7.684,-4.474,1.989,8.174,0.633,-8.623,3.716,14.369,-4.037,12.81,-5.625,-4.671,20.347,5.476,-0.349,-4.212,-18.291,-2.119,-8.757,1.065,4.207,241.65,581.6011,115566.7504
19,4.678,3.759,-8.307,-5.933,11.38,8.285,-4.611,7.12,4.468,5.523,-3.587,1.357,7.108,-1.742,-7.468,4.654,12.269,-3.485,12.444,-4.853,-3.589,17.566,2.918,-1.666,-1.903,-15.207,-0.601,-8.141,0.942,4.395,715.97,527.28143,35603.37645
20,2.976,6.458,-3.6,-4.368,9.172,8.441,-3.752,6.476,5.549,3.535,-3.139,0.831,6.594,0.028,-5.501,3.933,9.379,-2.826,8.464,-5.554,-2.142,16.28,5.208,-0.814,-2.603,-15.08,0.066,-8.418,0.516,5.65,397.62,710.83203,98101.77574
21,6.095,6.906,-5.558,-6.648,11.016,7.264,-4.267,7.056,7.428,7.186,-5.016,3.851,8.612,-2.461,-7.103,6.991,12.785,-5.41,13.376,-3.586,-3.499,20.254,4.985,-0.957,-2.75,-17.36,-2.53,-8.054,1.577,6.667,231.53,321.7965,8148.041022
22,5.938,6.725,-5.373,-6.497,10.719,7.035,-4.154,6.844,7.279,7.005,-4.914,3.805,8.406,-2.442,-6.888,6.885,12.436,-5.32,13.08,-3.453,-3.385,19.745,4.863,-0.95,-2.647,-16.903,-2.478,-7.832,1.547,6.535,272.88,336.53836,4052.386798
23,4.822,5.967,-6.803,-4.781,7.878,6.474,-2.491,7.523,4.032,4.634,-4.835,0.968,5.469,-0.699,-8.068,3.729,9.531,-4.103,8.329,-3.172,-2.106,15.083,5.815,1.459,-3.167,-14.057,-3.001,-6.202,-0.875,3.991,873.13,748.5415,15522.29433
24,6.885,7.842,-6.757,-6.756,11.701,9.973,-5.272,8.021,5.796,6.709,-4.242,3.297,9.875,-0.896,-8.333,5.944,12.915,-3.727,13.022,-3.568,-5.377,17.899,7.365,-1.338,-3.895,-18.832,-2.971,-8.465,0.86,5.348,588.42,565.10065,543.7920844
25,4.066,6.911,-7.16,-5.645,13.241,7.856,-3.96,8.777,7.693,6.668,-4.706,1.394,7.381,-1.443,-7.929,4.051,14.647,-3.049,10.427,-6.102,-3.851,20.545,3.372,0.314,-4.948,-18.139,-2.043,-7.937,1.201,4.968,1225.04,883.31586,116775.3879
26,5.536,5.987,-6.534,-5.507,9.983,7.825,-3.816,7.913,5.63,6.538,-4.113,1.954,7.568,-0.668,-7.122,4.007,12.435,-3.301,10.38,-4.424,-3.643,17.269,4.616,-0.335,-3.678,-16.041,-1.65,-7.705,1.347,4.763,862.2,618.3935,59441.60944
27,4.442,7.14,-4.669,-6.537,9.599,7.102,-2.006,8.231,7.081,8.343,-4.587,1.748,8.69,-0.326,-7.653,3.074,13.845,-4.345,11.896,-4.088,-3.62,17.603,6.292,-0.979,-5.407,-16.377,-0.236,-7.863,1.949,3.187,1044.25,751.7281,85569.06198
28,5.236,6.213,-7.926,-5.563,12.012,8.278,-5.172,7.61,6.527,8.172,-4.022,3.765,8.381,-0.029,-9.753,3.429,11.552,-3.273,11.904,-3.81,-5.45,20.205,6.331,-1.456,-4.029,-18.199,-4.503,-8.301,3.655,6.713,754.59,515.7409,57048.89257
29,4.754,5.36,-3.976,-5.355,8.483,5.307,-3.309,5.248,6.151,5.644,-4.141,3.463,6.85,-2.3,-5.269,6.085,9.806,-4.639,10.851,-2.454,-2.52,15.916,3.944,-0.892,-1.872,-13.458,-2.091,-6.161,1.325,5.538,936.91,472.69037,215499.8649
30,5.41,4.603,-9.171,-6.639,12.763,9.353,-5.133,8.108,5.166,6.366,-4.065,1.569,8.07,-1.83,-8.47,5.149,13.896,-3.906,13.823,-5.47,-4.123,19.934,3.486,-1.702,-2.383,-17.337,-0.841,-9.175,1.08,5.012,373.36,502.8417,16765.51063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.9346667,600.1728137,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMSE,258.1705376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% error over average,,16.05207557
